sentence,doc,n
"about black box network servicesblack box network services is a leading technology solutions provider dedicated to helping customers design, deploy and manage their it infrastructure",33,1
"about usprovidence health & services is a not-for-profit catholic network of hospitals, care centers, health plans, physicians, clinics, home health care and services guided by a mission of caring the sisters of providence began over 160 years ago",38,1
accuracy and attention to detail,39,1
across our organization we have unlimited opportunities for people looking to grow and succeed,48,1
"act as change agents and champion changeexecutes master data strategy for the ingredients and ingredient specification domainresponsible for project-related data quality and complianceperiodically provides updates and brings the areas needing attention to the leader and the sponsorcoordinates with cross-functional teams to help resolve operational issues within the data digitization effortcollaborates with is teams to prioritize and implement changes and strategiesbenchmarking, external networking:incorporate industry best practices and tools based on emerging trends and changing business requirements",45,1
"act as change agents and champion changeexecutes master data strategy for the product specification and recipe data domainresponsible for project-related data quality and complianceperiodically provides updates and brings the areas needing attention to the leader and the sponsorcoordinates with cross-functional teams to help resolve operational issues within the data digitization effortcollaborates with is teams to prioritize and implement changes and strategiesbenchmarking, external networking:incorporate industry best practices and tools based on emerging trends and changing business requirements",50,1
acts as a resource for level 1 questions and issuesfrom the branch network arising from procedures and customer requirements related to the bank's know your customerprogram and policies,18,1
additional duties & responsibilities: additional duties & responsibilities: minimum qualifications: 21 years of age,20,1
additional duties & responsibilities: company standards of conductall venetian | palazzo team members are expected to conduct and carry themselves in a professional manner at all times,20,1
"additionally, the role helps to manage our external data vendor relationships to continually improve the quality, depth, and breadth of customer data in our crm ecosystem",22,1
"additionally, this position plays a key role in the integration of our acquisitions as we move acquired companies onto our core systems and rationalize our customer master data",48,1
adhere to corporate risk management objectives,13,1
"administrate the change control system, to ensure that product data change requests are executed in a timely manner and are completed correctly the first time, every time",15,1
"advanced computing skills including, but not limited to: ms office suite, sql, peoplesoft, and business objects",11,1
align activities of data stewardship workgroups with data governance council objectives and priorities,44,1
"align the architecture with all staples stakeholders (website ops, sales ops, it, product/merchandising etc.) and develop a modern, detailed and relevant customer data taxonomy defining all fields representing a customer’s demographic, firmographic information as well as all interactions/behaviors with staplesestablish business rules that dictate the ingestion, modification, storage and disposition of customer data sets meeting staples customer-centric growth objectivesclosely partner with the it department to align taxonomy to the current state of customer data with a clear visibility and target of future data statepartner with the it department to translate customer taxonomy into data models to deliver the single view of the customer and then coordinate the validation and uat of data transition from current databases to the future state customer data ware house",47,1
aligns risk and control processes into day-to-day responsibilities to monitor and mitigate risk; escalates appropriately,21,1
"all duties are to be performed in accordance with departmental and the venetian | the palazzo casino resort’s policies, practices, and procedures",20,1
"all qualified applicants will receive consideration for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, protected veteran status, disability, or any other basis protected by federal, state, or local law",47,1
"all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender identity, sexual orientation, age, national origin, protected veteran status, disability, or any other basis protected by federal, state, or local law",47,1
"all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status",44,1
"ally bank has been named ""best online bank"" for five of the past seven years by money® magazine",26,1
"ally has an award-winning online bank (member fdic), one of the largest full service auto finance operations in the country, a complementary auto-focused insurance business, a growing digital wealth management and online brokerage platform, and a trusted corporate finance business offering capital for equity sponsors and middle-market companies",26,1
"ally's legacy dates back to 1919, and the company was redesigned in 2009 with a distinctive brand, innovative approach and relentless focus on its customers",26,1
"ally's total rewards program is designed to enrich your life at work - and outside of it and includes:industry-leading 401k retirement savings plan with matching and company contributionswellness program encouraging healthy living with financial rewardsflexible health insurance options including dental and visionpre-tax health savings account with generous employer contributionspre-tax commuter benefitsother work-life integration benefits including parental and caregiver leave, adoption assistance, backup child and adult/elder day care program, child care discounts, tuition reimbursement, lifematters® employee assistance program, subsidized and discounted weight watchers® program and other employee discount programsally is an equal opportunity employerwe extend equal employment opportunities to qualified applicants and employees on an equal basis regardless of an individual's age, race, color, sex, religion, national origin, disability, sexual orientation, gender identity or expression, pregnancy status, marital status, military or veteran status, genetic disposition or any other reason protected by law",26,1
"an amazing culture that is positive, energetic and allows you to bring your whole self to work to accomplish great things",49,1
an equal opportunity employerrequired skillsrequired experiencecovia corp - 30+ days ago - save job - original jobapply nowapply nowsave this job,5,1
analytical and problem solving skills,40,1
"analyzes, develops, and/or executes specifications for data mapping and transformation processes within and between applications and ensures successful entry and maintenance of metadata",11,1
approve data location/replication requests – serve as the responsible contact for requests to replicate assigned data or a subset of the data and provide approval or rejection of requests,32,1
are you in,31,1
are you looking for an opportunity where you can leverage your passion and experience in transforming data that can be leveraged to help make decisions using data collection and digital analytics tools,49,1
"as a global asset manager, our mission is to work in partnership with our clients to create outcome-focused solutions to help them secure their financial future",22,1
"as a lead data steward, you will be responsible for the execution, maintenance, and monitoring of master data to ensure its use is driving business objectives",31,1
"as a leading technology innovation company, lockheed martin’s vast team works with partners around the world to bring proven performance to our customers’ toughest challenges",44,1
"as a result, data stewardship responsibilities may not be new or additional responsibilities for these people",32,1
"as a temporary data steward, you will digitize the installation and operations manuals that we are provided for on-going projects at crane and seiling, pull spare parts lists, maintain steps, and other applicable data out of the manuals and convert them into data in our ifs system",5,1
"as an example, consider the difference between a data “owner” and a data “steward",32,1
"as data governance lead (technical steward), the successful candidate for this position will be responsible for implementation and sustainment of data governance program for mfc business by collaborating with business data stewards, other technical data stewards to administer data subject domains, administer collibra tool functions and ensure all mfc business data has been governed through set principles",44,1
"as well as a strong understanding of demand side platforms (dsp’s), data management platforms (dmp’s), web tags and cookies",2,1
"assertive, responsible for his/her own work (self-directed), have a strong affinity for defining work in deliverables, and be willing to commit to deadlines",32,1
assist data quality or other data professionals with active data profiling of assigned data and participate in analysis and reporting of results,32,1
assist in profiling of the data to determine the quality level of each element based on the rules while working with the stakeholders to define and document any additional quality rules based on the profiling,21,1
"assist in the analysis, certification, and auditing of data quality",32,1
"assist the data steward in the management of the mbs clearing, gsd clearance, and equity clearance data information domains across the enterprise",21,1
"assist these roles with integration of data requirements into a data architecture’s logical and physical data models; e.g., help with resolution of differences in names and meanings",32,1
assist with project planning and identification of resource requirements,21,1
assists in continuous improvement efforts to streamline master data processes and entries,40,1
assists in developing and maintaining department policies and procedures in support of the bank's integratedoperational risk framework and/or industry best practices,18,1
assists in providing support 24/7 specifically to respond to new requests from the business,41,1
assists in the build and maintenance of the domain dictionary,7,1
"assists in the definition of business processes that ensure the consistency, uniformity, and accuracy of global item data",40,1
"assists in the definition, stewardship, quality control, metadata and access of data owned by respective domain",7,1
assists management in the execution of our global data management strategy,40,1
"at a minimum, this includes safety glasses and steel-toed shoes",4,1
at dtcc we value on our clients' interests and partner to deliver superior results with excellence and innovation and lead with integrity,21,1
at least one year of manufacturing experience,4,1
"auto req id: 6465brtitle: lead data stewardjob function: strategic planningstate and city: wisconsin, milwaukeecompany: harley-davidson motor companyfull or part-time: full-timeshift: shift 1job summarywe are paving more roads to harley-davidson by developing exhilarating new products, creating broader access to our iconic brand, and building a stronger dealer network",31,1
"ba/bs in computer science/business/mis.knowledge of a statistical or analytical modeling language such as sas, sql or r; sas certification is considered a plus.2+ years’ of experience within financial services",42,1
"ba/bs in computer science/business/mis.knowledge of a statistical or analytical modeling language such as sas, sql or r; sas certification is considered a plus.5+ years’ of experience within financial services",46,1
"bachelor’s degree in finance, economics, business, or similar fields is required; master’s degree preferredmust be able to obtain and maintain a nevada gaming control board registration and any other certification or license, as required by law or policy.2+ years’ experience with producing metrics and analytics is required; preferred experience in the gaming, travel & entertainment industries or marketing is preferred",20,1
bank of the west - 30+ days ago - save job - report job - original jobapply nowapply on company sitesave this job,19,1
bank of the west is also an affirmative action employer -minority / female / disabled / veteran,18,1
"bank of the west offers the stability of a company that has a 135 year history and is part of bnp paribas, a europeanleader in global banking and financial services and one of the 6 strongest banks in the world",18,1
bank of the west will consider for employment qualified applicants with criminal histories pursuant to the san franciscofair chance ordinance subject to the requirements of all state and federal laws and regulations,18,1
basic mainframe knowledge (i.e,11,1
"becomes a change ambassador, promoting and ensuring adoption of new processes or implementations across black box",33,1
"being the keeper of the prioritized listdiagnose incidents and data questions via sql access to database – front end siebel and reltio data mining experience a plusensure that all impacted systems (both siebel and spoke systems in a process) are reviewed, modified and tested accordingly and all system/application changes are documented appropriatelyprovide expertise and guidance in the future project implementations within the siebel suiteact as the voice of the business in capturing business requirements and champion them with the it and software providers- maintain scope to industry “best practice”customer data qualitycollaborate as part of a data governance body to develop consistent data definitionsset clear data quality and integrity expectations and ensure complianceestablish and maintain customer data metric definitionspartner with it to resolve any variance from the agreed calculationswork with it during the system development and provide requirements and business information that may impact datadrive processes that ensure customer data across systems is consistent and accurately reflect the agreed upon definitionsother duties and responsibilitiesinteract professionally and effectively through verbal and written communication with all professional contacts and represent the company interestsperform other related duties, tasks and responsibilities as required, assigned or directed",25,1
benchmark and participate in sharegroups with other organizations in order to advance the hershey company’s capability,45,1
benchmark and participate in sharegroups with other organizations in order to advance the hershey company’s capability. with other organizations in order to advance the hershey company’s capability,36,1
better world,25,1
black box is an equal opportunity employer,33,1
black box network services - 30 days ago - save job - original jobapply nowapply on company sitesave this job,33,1
"black box network services offers a competitive total rewards benefits package that includes medical, dental, and vision coverage, in addition to a wide variety of additional benefits like a 401k, life insurance, employee assistance programs, fitness reimbursements, identity theft protection, education/scholarship programs and more",33,1
black box provides challenging work that creates advancement opportunities within the organization for those demonstrating desire and aptitude through their achievements,33,1
bnp paribas - 30+ days ago - save job - report job - original jobapply nowapply on company sitesave this job,18,1
bose - 23 days ago - save job - original jobapply nowapply on company sitesave this job,8,1
bose is committed to working with and providing reasonable accommodations to individuals with disabilities,8,1
build collaborative relationships with other data stewards and with users of the data they steward,39,1
"build requirements for a new data model, gather feedback from teams and stakeholdersensure completeness, accuracy and integrity of data",39,1
business data steward-1803221descriptionthe business data steward for ccar regulatory reporting is responsible for ensuring that the data within the assigned data domains is managed according to policies and standards,12,1
"business data stewardsantander bank2,099 reviews-boston, masantander bank2,099 reviewsread what people are saying about working here",12,1
business experience (prior years’ work/related experience) minimum 3 years of prior relevant experience,13,1
"business intelligence and analyticsprovide business intelligence (bi) data requirements and management key performance indicators (kpis), metrics, etc., and help identify and resolve bi and analytics issues",32,1
business overviewcoram cvs/specialty infusion services is a leading national provider of specialty home infusion and specialty pharmacy services,41,1
"business unit/enterprise functionally bank is a direct bank in the u.s. that offers a straightforward approach to banking with no minimum deposit required to open an account, no monthly maintenance fees and 24/7 live customer care",26,1
"by integrating information from its watch and buy segments and other data sources, nielsen provides its clients with both world-class measurement as well as analytics that help improve performance",39,1
"candidate must manage relationships with upstream data providers and downstream provisioning to ensure data quality and usability, work with data architects and application managers to deliver technology solutions",7,1
"candidate will be responsible for consistent, timely, and accurate data stewardship while providing product and technical expertise",7,1
"candidates must also have strong communication skills, possess attention to detail, and be able to work independently",3,1
carries out supervisory responsibilities in accordance with company policygathers productivity data for department to ensure metrics are maintained,41,1
change management process to ensure foundational components are up-to-date,1,1
collaborate with business areas to gain understanding of issues,35,1
"collaborate with cross-functional business areas to improve master data quality, processes and resolve problems",35,1
collaborate with it and other internal departments as needed,22,1
collaborate with others to define data model and develop related meta-data,39,1
"collaborates with management, technical staff and subject matter advisors to understand business needs/issues,troubleshoot problems, conduct root cause analysis and develop cost effective resolutions for data anomalies.",11,1
collaborates with the sales operations team to address discrepancies identified,41,1
"collaborates with various functional teams such as production, insights, development and it on data management to support the saas platform",16,1
come join us as we offer our customers more than 100 years of combined experience in the food processing industry,4,1
communicates across other departments regarding new items implementations,40,1
communication: articulates information clearly and presents information effectively and confidently when working with others,21,1
completes all employee performance appraisals in a timely fashion,41,1
compliance data will be utilized in the development of general analytics as well as statistical models,42,1
"conduct a quality review of entities within crm systems on a periodic basis and recommend improvements to governance and stewardship guidelinesadd and update customer entities and attributes (mass upload and manually) within our crm systems to enrich existing datasupervise internal and offshore resources maintaining and updating customer datadevelop and manage relationships with legal, operations, and third party providers to maintain data completeness and qualitydocumentation and reportingprofile and report on data completeness and qualityprovide ad hoc reporting assistancequalifications: education and/or experience: bachelor’s degree from an accredited four-year university 2-3 years previous work experience industry experience preferred previous data stewardship/governance experience preferredknowledge, skills and abilities:crm (salesforce, ms dynamics)intermediate sql or similar query languagetableau or similar bi tooladditional:ability to display independent judgment to make decisions where no clear precedents exist; adjusts plans and deliverables with the right approvals and the business goals in mind",22,1
conduct stakeholder interviews to gather process details,13,1
consistent and regular attendance is an essential function of this job,20,1
consult with internal clients to provide subject matter expertise on television audience measurement data sourcesconsulting with team members to ensure accuracy during data integration pipeline development for custom analytics projectsensures data science services are delivered to the highest quality standards,39,1
"continually assess opportunities for data quality improvement, while identifying issues, root causes and remedies",42,1
contributes to building an analytics and data culture in claim,11,1
"coopervision has a strong heritage of solving the toughest vision challenges such as astigmatism and presbyopia; and offers the most complete collection of spherical, toric and multifocal products available",40,1
"coordinates data entry activities with others on the teamparticipates in planning, organizing, and testing new system designs as needed",41,1
coram cvs/specialty infusion services is a national leader in the home infusion and enteral fields,41,1
corelogic - 30+ days ago - save job - original jobapply nowapply on company sitesave this job,1,1
"corelogic is an equal opportunity/affirmative action employer committed to attracting and retaining the best-qualified people available, without regard to race, color, religion, national origin, gender, sexual orientation, gender identity, age, disability or status as a veteran of the armed forces, or any other basis protected by federal, state or local law",1,1
corelogic maintains a drug-free workplace,1,1
covia corporation is north america's leading industrial mineral producer and a technology partner to a diverse customer base,5,1
covia employs a diverse and highly skilled team of professionals to convert natural minerals into engineered solutions for our customers,5,1
"covia is looking for a dynamic temporary data steward who will have a positive impact on the operations team at its mankato, mn location",5,1
create mapping and build lineages of existing data sets to improve the trust worthiness of data,44,1
"creates and manages bill of materials (boms), routings, lead time, order quantity, etc. for any given product in the hierarchy",40,1
creates the documentation for use of developers and qa in validating analytics requirements,49,1
"customer data management executionpartner with other functions (it in particular) to implement the customer data management process in its entirety including all phases: define, cleanse, unify, govern, measure and audit for continuous improvementestablish clear cadence for identification of data cleanse and quality improvement opportunities and coordinate the implementation with other functions (it in particular)prioritize initiatives and maintain a roadmap for customer data management improvementscreate the measurement plan for data management, including database readiness metrics and metrics that capture the impact of database readiness on downstream marketing processesestablish a customer data health dashboard to represent the true health of customer data at staples to show readiness as well as outputproactively communicate data management status, progress and successinnovation and changebe the change agent across staples to drive common understanding of customer taxonomy, definitions and business/access rules for customer data setsuse innovative data management concepts to minimize implementation timecommunication/interactions:work with internal & external customers / suppliers as well as third parties to develop and align on customer data management strategyestablish ongoing coordination with web, sales operations and it teams to ensure visibility into changes to data and architecture to ensure alignment toward pristine health of ready and active customer dataindependently manage the business needs for marketing agencies providing external data feeds, consulting partners providing industry benchmarks, best practices and case studies to solve complex data management issues",47,1
"customer identity master stewardshipperform data extraction, mining, analysis, conversion/transformation for loading into other systems to perform data quality analysisidentify, analyze and interpret trends or patterns for the company by querying large and complex data sets in sqlbring in best practices as well as being first line of support and grow to be an ‘industry expert’ in the customer data quality spaceensure a continual global understanding of data flows within core and spoke systemsidentify, define and efficiently address user needs in the establishment of practices and processes for data storage and management in the systemsdevelop, define and implement data governance policies and procedures with regards to management, accessibility, and updates (e.g",25,1
"customer master data stewardtricorbraun21 reviews-oak brook, iltricorbraun21 reviewsread what people are saying about working here",48,1
cvs health - 23 days ago - save job - original jobapply nowapply on company sitesave this job,41,1
"cvs health, through our unmatched breadth of service offerings, is the nation’s largest pharmacy health care provider transforming the delivery of health care services in the u.s",41,1
data managementaudits stored procedures and monitors and maintains data processes that support the saas business process,16,1
"data operationsdefine data related requirements for business continuity and recovery, data retention and archiving, and assist with development and/or negotiation of service levels within all these areas",32,1
data quality managementdefine data quality requirements and business rules and test application edits and validations,32,1
"data requirements and applications developmentreview, validate, approve, and refine data requirements specifications that data architects, data analysts, or database administrators organize into an organization’s data architecture and designs",32,1
"data steward - 23264data science - usa oldsmar, floridathe lead data steward within the data science watch product organization will be accountable for the data model in our new data warehouse, project managing and troubleshooting data related issues",39,1
"data steward â data warehouseglobal lending services29 reviews-greenville, scglobal lending services29 reviewsread what people are saying about working here",29,1
"data steward analystnuveen42 reviews-chicago, ilnuveen42 reviewsread what people are saying about working here",22,1
"data steward and data analyst, assistant vice presidentjob descriptionthe candidate will be a member of the newly formed compliance analytics team within corporate compliance",46,1
"data steward and data analyst, assistant vice presidentstate street1,958 reviews-boston, mastate street1,958 reviewsread what people are saying about working here",46,1
"data steward business analystdtcc231 reviews-tampa, fldtcc231 reviewsread what people are saying about working here",21,1
"data steward supervisorcvs health24,242 reviews-mount prospect, ilcvs health24,242 reviewsread what people are saying about working here",41,1
data steward-fin0001ehdescriptionjob summarythe data steward is an individual contributor within the claim business team,11,1
"data steward/data analyst, officerstate street1,958 reviews-boston, mastate street1,958 reviewsread what people are saying about working here",42,1
data steward/data analystjob descriptionthe candidate will be a member of the newly formed compliance analytics team within corporate compliance,42,1
"data steward/data governance leadlockheed martin corporation6,127 reviews-grand prairie, tx 75051lockheed martin corporation6,127 reviewsread what people are saying about working here",44,1
"data stewardally financial inc.602 reviews-charlotte, nc 28217ally financial inc.602 reviewsread what people are saying about working here",26,1
"data stewardcna insurance338 reviews-chicago, il 60604cna insurance338 reviewsread what people are saying about working here",11,1
"data stewardnielsen1,969 reviews-oldsmar, flnielsen1,969 reviewsread what people are saying about working here",39,1
"data stewardoutsell corporation-minneapolis, mnthe data steward supports on-going data operations related to development, production support and campaign operations teams focused on quality, security, and maintenance of data",16,1
"data stewards are appointed to represent the data interests of all relevant stakeholders (e.g., data trustees, data owners, etc.), including but not limited to, the interests of their own functional divisions and departments",32,1
data stewards are business unit and corporate function subject matter experts associated with business data sets,10,1
"data stewards are gatekeepers and responsible for understanding metadata, usage, standards and quality for specific data elements",2,1
"data stewards are responsible for executing activities to mitigate data quality risks and issues, interpreting edm policy and ensuring that the digital marketing data complies with enterprise policies and standards in demonstration of policy compliance and standards adoption",2,1
data stewards conduct research by utilizing internal databases and performing web searches to verify that the properties of a record are accurate,6,1
"data stewards have a specialist role that incorporates processes, policies, guidelines and responsibilities administering assigned organization data, in compliance with policy and/or regulatory obligations (when relevant",32,1
"data stewards manage governed data within the business unit, while ensuring the highest level of data quality, protection, consistency, accuracy, and reliability through established policies, standards and procedures",2,1
data stewards manage their assigned organization data assets on behalf of others and in the best interests of an organization,32,1
data stewards must always first take an enterprise perspective to ensure the quality and effective use of an organization’s data,32,1
"data stewards needed asaptwo point consulting-new york, ny$60,000 a yeara major new york city law firm is seeking permanent data stewards asap.the ideal candidates will have 2+ years of crm experience, and knowledge of interaction",3,1
"data stewards, from the business and functional units, strategically manage governed data within their area of responsibility while ensuring the highest level of data quality, integrity, privacy, availability, security and usability",10,1
"data stewardtavant technologies67 reviews-emeryville, catavant technologies67 reviewsread what people are saying about working here",32,1
"data stewardwaddell and reed233 reviews-overland park, ks 66223waddell and reed233 reviewsread what people are saying about working here.o management of data feeds from third party providers for timely integration into the sales reporting and crm application leveraged by the idi sales organization, ultimately driving wholesale incentive compensation.o profile viability of data feeds viability through review of transactional attributes by assessing completeness, consistency, accuracy and reconciliation to transfer agent omnibus activity.o work with large data sets from internal and external sources which may require data analysis to be performed in excel and access databases or other solutions as appropriate.o maintain up to date procedures and process flows for validation and transformation methodology to ensure data integrity and accurate recording of data.o define and maintain business requirements, data mapping rules and business logic considerations for seamless integration of data feeds.o consult with data operations team to ensure consistent data validation and resolutions processes are being leveraged within trade/asset resolution activities.o coordinate with it resources, business partners and service providers when new data feeds or changes to existing data feeds require re-mapping of fields or data transformations for consumption in downstream applications.o support continuous process improvements through technical innovation and automation of complex tasks to minimize manual work.o test process and data ui changes within business application in addition to providing training and support to end-users.o troubleshoot data and application issues, consult with impacted parties (including record-keeper and service providers) and coordinate with vendor to identify level of effort for remediation",9,1
"datagx, data steward, officerstate street1,958 reviews-boston, mastate street1,958 reviewsread what people are saying about working here",10,1
"define business rules for data within domaindefine/validate business definitions for data elementsidentify candidates for kde and prioritize kdes using criteria established by the office of cdoidentify need for changes in metadata within domainimplement changes to business definitionsprioritize issues to remediatereview data lineagereview and approve remediation plansdefine standards for data within assigned domaindetermine official sources of data in scope (data elements)manage new data initiatives and related projects by defining high-level business case; providing requirements, tracking and prioritizing data projects within domaintranslate business strategies into actionable business oriented data management strategies for the assigned domain,level business cases; provide requirements; track and prioritize data projects within domain related initiatives, managing budget allocation and tracking budget utilizationparticipate as a member of key cross-functional working groups related to data quality, metadata, and the company's data governance working group representing the data domain, if requiredat santander, we respect differences in our workforce and strive to increase the diversity of our teams",12,1
"define data quality checks and analytics that can be executed by other team membersprovide mentorship, leadership and best practices in support of a team of 20+ data scientists and data engineersreview and improve existing data pipeline code and processes",39,1
define data requirements and business rules for assigned master data – identify and assist with resolution of assigned master data risks and issues,32,1
define strategic technical solutions with business and technology partners,7,1
defines and executes data validation checksexpose clear and easy to use metadataprovide effective and accessible training and documentation on the use and appropriate handling of these data,39,1
defines data elements and establishes policies and procedures related to the collection and accuracy of data and monitors and performs tests on data systems,16,1
"defines data elements and establishes policies and procedures related to the collection, accuracy and adherence to privacy and/or regulatory policies of td ameritrade’s digital marketing data",2,1
definition and maintenance of business metadata is at the heart of data stewardship,32,1
"degree in business administration, finance or similar related experienceabout dtcc:with over 40 years of experience, dtcc is the premier post-trade market infrastructure for the global financial services industry",21,1
degree preferred with database experience and pharmacy/healthcare backgroundeducationeducation and experience equivalent to a two-year college degree,41,1
delivers production data files or ad hoc programs that are managed outside the system and works with development to streamline those processes,16,1
"demonstrable experience with advanced analytic and programming tools such as python, r, sas & matlab is preferred",20,1
"demonstrable experience with data visualization, reporting & dashboarding tools such as tibco spotfire, sas bi, tableau, cognos and/or qlikview is preferred",20,1
"demonstrate interest in nielsen methodologies, data collection, platforms, research processes and operationspreferred experience with data visualization tools (e.g",39,1
demonstrated ability to translate it service business needs into system and master data requirements,33,1
demonstrated excellent verbal and written communication skills,32,1
"demonstrated proficiency with sql and related tools in an oracle environment (toad, sql dev, etc",25,1
dependability is key the successful candidate will be able to be relied on for good attendance and solid work,4,1
deployment and troubleshootingensures data steward network are kept informed of changes in data standards and processes within their domain,36,1
deployment and troubleshootingensures data steward network members are kept informed of changes in data standards and processes within their domain,45,1
deriving insight from the analytics and communicate insight narratives to senior leadership and peers,20,1
"description:providence is calling a senior data steward – psjh to providence health & services in either renton, wa or anaheim, ca.we are seeking a senior data steward – psjh to support strategic priorities of providence st joseph health data governance and data assets program",38,1
"descriptionthe marketing operations, customer data steward is a key leader within the marketing operations team and is responsible for defining the customer data management strategy for staples, and ensuring the execution of, initiatives related to all aspects of customer data management: define taxonomy, customer data cleanse, unification, governance, measurement and continuous improvement",47,1
